place,year,mass_g,longitude,latitude,fell_found,Include
Ivanpah,1880,58000,-115.31667,35.33333,Found,0
Julesburg,1983,57900,-102.26667,39.975,Found,0
Phillips County (stone),1901,57900,-99.25,40,Fell,0
Miami,1930,57700,-100.6,35.66667,Found,0
Gladstone (stone),1936,57300,-104,36.3,Found,0
Warburton Range,1963,56930,126.66667,-26.28333,Found,0
Farmville,1934,56000,-77.53333,35.55,Fell,0
Jenkins,1946,55400,-93.76111,36.82444,Found,0
Ashmore,1969,55400,-102.28333,32.9,Found,0
Kulnine,1886,55300,141.78333,-34.15,Found,0
Wellman (a),1940,55000,-102.33333,33.03333,Found,0
Rosebud,1915,54900,-97.05,30.81667,Found,0
Elenovka,1951,54640,37.66667,47.83333,Fell,0
Aprel'sky,1969,54600,126.11667,53.3,Found,0
Markovka,1967,54200,79.8,52.4,Found,0
Uwet,1903,54000,8.25,5.28333,Found,0
Chihuahua City,1929,54000,-106.11667,28.66667,Found,0
Dunganville,1976,54000,171.35,-42.55,Found,0
Veramin,1880,54000,51.63333,35.33333,Fell,0
Kumerina,1937,53500,119.41667,-24.91667,Found,0
Ruff's Mountain,1844,53070,-81.4,34.3,Found,0
Dalton,1879,53000,-84.98333,34.8,Found,0
Nan Yang Pao,1917,52900,103.5,35.66667,Fell,0
Ahumada,1909,52600,-105.5,30.7,Found,0
Stannern,1808,52000,15.56667,49.28333,Fell,0
Benjamin,1969,51800,-99.8,33.58333,Found,0
Ilimaes (iron),1870,51700,-70,-26,Found,0
Grand Rapids,1883,51700,-85.76667,42.96667,Found,0
LancÌ©,1872,51700,1.06667,47.7,Fell,0
Leedey,1943,51500,-99.33333,35.88333,Fell,0
Mungindi,1897,51300,148.95,-28.93333,Found,0
Willow Creek,1914,51000,-106.76667,43.46667,Found,0
La Grange,1860,50800,-85.36667,38.4,Found,0
Birgi,1332,50800,28.1,38.23333,Fell,0
Davy (a),1940,50600,-97.6,29.1,Found,0
Richland,1951,50600,-96.4,31.9,Found,0
Santa Vitoria do Palmar,2003,50400,-53.41083,-33.50944,Found,0
NWA 1581,2001,50200,-4.25,31.38333,Found,0
Waconda,1873,50000,-98.16667,39.33333,Found,0
Winburg,1881,50000,27,-28.5,Found,0
Hinojal,1927,50000,-60.15,-32.36667,Found,0
Ingella Station,1987,50000,142.78333,-25.55,Found,0
HaH 153,1995,50000,13.5775,28.60033,Found,0
NWA 6903,2008,50000,-6.36,32.37167,Found,0
Dho 1654,2011,50000,54.2876,18.67877,Found,0
Limerick,1813,50000,-8.78333,52.56667,Fell,0
Ausson,1858,50000,0.58333,43.08333,Fell,0
Aumale,1865,50000,3.66667,36.16667,Fell,0
Krymka,1946,50000,30.76667,47.83333,Fell,0
Valera,1972,50000,-70.62833,9.31667,Fell,0
Nuevo Mercurio,1978,50000,-102.13333,24.3,Fell,0
Akyumak,1981,50000,42.81667,39.91667,Fell,0
Wuan,1986,50000,114.25,36.75,Fell,0
JaH 342,2006,49750,56.54755,19.71458,Found,0
